,,,,,ADT Su,"31,456","35,736","33,791","32,500","34,719","36,106","35,435","37,793","37,431","34,390","30,871","33,611","34,437"
653,OBERBUCHSITEN (AB),,SO,A 1,ADT,"82,228","87,252","89,248","92,654","91,492","92,055","92,256","93,504","92,325","91,159","86,784","86,062","89,759"
,,,,,AWT,"83,710","87,869","89,924","93,570","91,402","92,511","93,064","94,168","91,597","91,406","87,378","87,085","90,301"
,,,,,ADT Tu-Th,"82,491","86,652","89,255","93,122","90,383","91,551","92,936","93,719","90,987","90,822","86,783","85,705","89,602"
,,,,,ADT Sa,"86,685","89,892","93,616","95,437","96,475","94,548","91,908","93,060","99,277","94,744","92,607","89,614","93,215"
,,,,,ADT Su,"72,144","81,525","82,042","87,746","86,888","88,872","87,963","91,660","89,380","86,151","78,581","80,115","84,479"
656,SPIRINGEN - UR6301,,UR,H 17,ADT,"2,141","2,208","2,137","2,434","3,064","3,306","3,033","3,538","3,126","2,671","2,212","2,167","2,672"
,,,,,AWT,"2,230","2,324","2,300","2,608","2,959","3,216","3,013","3,610","3,004","2,716","2,385","2,274","2,719"
,,,,,ADT Tu-Th,"2,287","2,316","2,308","2,587","2,801","3,252","3,004","3,546","2,927","2,734","2,360","2,273","2,701"
,,,,,ADT Sa,"2,013","2,024","1,924","2,390","3,417","3,280","3,366","3,180","3,457","2,751","2,086","2,011","2,658"
,,,,,ADT Su,"1,852","1,812","1,663","1,881","3,148","3,623","2,814","3,598","3,469","2,330","1,644","1,896","2,487"
657,BUERGLEN - UR6303,,UR,H 2,ADT,"11,051","11,424","11,272","11,612","11,503","11,610","11,109","10,971","12,304","12,065","11,913","11,511","11,526"
,,,,,AWT,"12,342","12,523","12,415","13,068","12,648","12,779","11,998","12,212","13,231","13,123","13,583","13,118","12,749"
,,,,,ADT Tu-Th,"12,572","12,470","12,072","13,016","12,678","12,565","11,918","12,508","13,154","12,999","13,511","13,113","12,711"
,,,,,ADT Sa,"9,933","10,648","10,998","11,324","10,785","11,415","10,372","10,024","11,658","11,147","10,651","10,743","10,793"
,,,,,ADT Su,"6,265","6,705","6,742","6,951","7,416","7,844","6,736","7,621","7,851","6,899","6,495","6,400","7,004"
658,CONTHEY (AR),,VS,A 9,ADT,"46,982","52,414","49,356","49,187","49,241","47,935","50,396","49,964","52,237","50,651","48,158","49,098","49,615"
,,,,,AWT,"50,303","54,708","51,866","52,936","53,682","52,229","53,924","53,330","55,086","54,030","53,253","52,509","53,161"
,,,,,ADT Tu-Th,"48,854","53,332","49,091","51,645","53,558","51,501","53,670","53,146","54,104","53,454","52,770","52,301","52,309"
,,,,,ADT Sa,"44,557","53,995","50,112","46,260","44,925","43,223","44,982","48,494","49,179","46,560","44,605","49,036","47,151"
,,,,,ADT Su,"34,308","39,365","38,059","38,645","34,906","36,763","35,521","39,967","39,624","35,312","31,327","37,198","36,795"
668,MONTHEY - VS164002,,VS,H 201,ADT,"13,407","14,477","12,997","11,704","11,654","11,897","12,282","13,003","12,527","11,952","11,288","12,644","12,476"
,,,,,AWT,"13,452","14,426","13,401","12,763","12,652","12,683","13,007","13,695","13,048","12,773","12,421","13,230","13,125"
,,,,,ADT Tu-Th,"12,961","13,979","13,072","12,586","12,608","12,529","12,922","13,601","12,904","12,724","12,227","13,251","12,941"
,,,,,ADT Sa,"14,580","17,070","13,847","11,066","10,705","11,269","11,544","12,622","12,246","10,707","10,632","13,003","12,403"
,,,,,ADT Su,"12,270","12,137","10,446","8,599","8,408","9,693","8,854","11,013","9,949","8,473","7,407","10,353","9,804"
671,VAUMARCUS (AR),,NE,A 5,ADT,"18,196","19,775","20,473","20,810","21,232","21,543","20,431","20,497","21,068","20,644","20,459","19,257","20,364"
,,,,,AWT,"19,185","20,729","21,543","21,738","22,062","22,653","21,071","21,257","21,442","21,417","21,654","20,142","21,227"
,,,,,ADT Tu-Th,"19,207","20,707","21,566","21,651","22,478","22,651","20,973","21,139","21,628","21,309","21,772","19,988","21,237"
,,,,,ADT Sa,"17,101","18,976","19,754","20,500","20,327","20,750","19,697","19,828","21,324","19,586","19,850","19,564","19,784"
,,,,,ADT Su,"14,722","15,805","16,700","17,923","18,652","18,372","17,486","18,525","18,750","17,254","16,284","15,959","17,227"
672,GORGIER (AR),,NE,A 5,ADT,"21,529","23,341","24,303","24,596","25,249","25,700","24,103","24,122","25,153","24,318","24,278","22,743","24,117"
,,,,,AWT,"23,190","24,777","25,810","26,061","26,534","27,370","25,217","25,405","25,932","25,454","26,053","24,126","25,475"
,,,,,ADT Tu-Th,"23,149","24,806","25,975","25,906","27,015","27,371","25,199","25,229","26,322","25,394","26,242","23,971","25,523"
,,,,,ADT Sa,"19,627","21,761","23,234","24,004","23,774","24,235","22,684","23,055","24,629","22,543","23,016","22,416","22,942"
,,,,,ADT Su,"15,741","17,740","19,042","20,107","21,327","21,110","19,119","20,732","21,391","19,560","18,442","18,123","19,407"
673,BEVAIX (AR),,NE,A 5,ADT,"25,566","27,654","28,926","29,335","30,037","30,536","28,221","28,213","29,739","28,912","28,918","26,851","28,572"
,,,,,AWT,"27,913","29,753","31,300","31,704","31,983","33,076","29,868","30,239","31,118","30,706","31,552","29,012","30,658"
,,,,,ADT Tu-Th,"27,853","29,769","31,449","31,551","32,359","33,173","29,847","29,936","31,659","30,647","31,788","28,756","30,699"
,,,,,ADT Sa,"23,104","25,427","26,998","28,539","28,414","28,833","26,282","26,709","28,526","26,214","27,023","25,941","26,869"
,,,,,ADT Su,"17,207","19,384","20,885","21,970","23,487","23,205","20,692","22,714","23,368","21,299","20,278","19,896","21,249"
674,BOUDRY (AR),,NE,A 5,ADT,"30,929","33,159","34,568","34,710","35,582","36,451","32,994","33,280","35,453","34,594","34,750","31,940","34,027"
,,,,,AWT,"34,346","36,286","38,224","38,348","38,602","40,204","35,418","36,438","37,706","37,284","38,670","35,108","37,181"
,,,,,ADT Tu-Th,"34,634","36,516","38,539","38,196","39,224","40,433","35,571","36,298","38,690","37,338","39,029","34,907","37,393"
,,,,,ADT Sa,"26,365","28,900","30,264","32,066","32,217","32,796","29,301","30,196","32,342","29,982","31,050","29,672","30,468"
,,,,,ADT Su,"19,546","21,779","23,518","24,348","26,263","26,375","22,748","25,323","26,176","23,740","22,773","22,362","23,812"
675,NEUCHÂTEL-OUEST TUNNEL (AR),,NE,A 5,ADT,"26,546","28,087","29,099","29,958","30,994","31,675","27,691","28,741","30,590","29,663","29,939","27,230","29,179"
,,,,,AWT,"29,871","31,184","32,746","33,954","34,295","35,466","30,159","32,081","32,832","32,450","33,933","30,616","32,421"
,,,,,ADT Tu-Th,"30,099","31,429","33,068","33,870","34,746","35,762","30,331","32,117","33,340","32,535","34,150","30,476","32,603"
,,,,,ADT Sa,"22,357","23,929","24,677","26,360","26,884","27,701","23,977","25,331","27,945","25,059","26,186","24,406","25,429"
,,,,,ADT Su,"15,269","16,765","18,206","19,037","21,240","21,687","17,212","20,450","20,900","18,240","17,716","17,264","18,754"
676,HAUTERIVE (AR),,NE,A 5,ADT,"36,325","38,227","39,328","39,509","40,729","41,721","37,920","38,137","40,316",,,"38,065",
,,,,,AWT,"40,162","41,670","43,519","44,150","44,250","46,187","41,002","42,069","42,896",,,"42,040",
,,,,,ADT Tu-Th,"40,298","41,656","43,859","44,125","44,473","46,379","41,220","41,877","43,698",,,"41,697",
,,,,,ADT Sa,"34,926","36,667","36,975","38,638","39,142","40,118","35,264","36,505","39,444",,,"37,447",
,,,,,ADT Su,"20,563","22,576","24,080","24,621","27,528","27,902","22,852","26,387","26,994",,,"24,565",
677,VALANGIN (AB),,NE,A 20,ADT,"32,906","35,148","35,780","33,844","36,306","37,332","31,736",,,,,,
,,,,,AWT,"36,740","39,012","40,713","38,163","40,259","41,824","34,725",,,,,,
,,,,,ADT Tu-Th,"36,945","39,255","41,274","38,010","40,947","42,061","35,039",,,,,,
,,,,,ADT Sa,"27,303","28,884","29,559","30,595","31,363","32,285","26,484",,,,,,
,,,,,ADT Su,"20,520","22,091","21,286","21,614","24,648","25,723","19,805",,,,,,
679,ROTHENBURG (AB),,LU,A 2,ADT,"62,733","65,400","66,871","72,056","73,143","74,210","77,725","79,675","75,867","72,969","68,126","65,625","71,233"
,,,,,AWT,"66,858","69,378","71,750","76,610","76,593","77,122","80,241","82,437","77,703","75,591","73,233","69,683","74,777"
,,,,,ADT Tu-Th,"66,617","69,086","71,618","76,238","76,265","75,914","79,319","82,205","76,589","74,899","73,340","69,014","74,323"
,,,,,ADT Sa,"59,687","62,452","63,350","71,178","71,838","74,535","76,083","80,123","76,570","73,019","65,880","65,415","70,033"
,,,,,ADT Su,"47,019","48,456","49,899","57,462","59,957","64,291","64,904","70,094","65,067","57,845","49,944","51,565","57,328"
683,"LOCARNO, TUNNEL MAPPO MORETTINA",,TI,H 13,ADT,"21,566","23,883","24,245","26,534","27,061","27,727","29,189","26,932","28,475","28,099","23,620","23,178","25,884"
,,,,,AWT,"24,128","26,847","27,185","29,449","29,188","30,008","30,984","28,719","30,114","30,082","26,765","25,767","28,295"
,,,,,ADT Tu-Th,"24,752","26,876","26,832","29,403","28,857","29,760","30,993","28,662","29,914","30,077","26,778","25,675","28,281"
,,,,,ADT Sa,"17,623","18,335","20,109","22,701","24,146","24,618","25,657","25,009","25,292","24,529","19,774","20,779","22,372"
,,,,,ADT Su,"13,447","14,608","16,031","19,374","21,042","22,198","22,401","22,577","22,642","20,265","14,887","15,716","18,765"
685,ALTDORF KLAUSENSTRASSE - UR6017,,UR,H 17,ADT,"7,314","7,628","7,306","7,770","8,070","8,131","7,447","7,976","8,160","7,828","7,633","7,245","7,707"
,,,,,AWT,"8,070","8,310","8,088","8,691","8,676","8,789","7,896","8,747","8,573","8,384","8,519","8,040","8,390"
,,,,,ADT Tu-Th,"8,215","8,297","8,051","8,674","8,612","8,831","7,883","8,829","8,520","8,387","8,518","8,136","8,403"
,,,,,ADT Sa,"6,318","6,752","6,530","7,203","7,515","7,340","7,077","6,875","7,586","7,133","6,920","6,584","6,984"
,,,,,ADT Su,"4,786","5,093","4,794","5,076","6,084","6,469","5,238","6,323","6,466","5,330","4,803","4,900","5,457"
686,ADLIKON (AB) - ZH4889,,ZH,A 4,ADT,"29,058","30,602","32,107","33,560","33,819",,,,,,,,
,,,,,AWT,"30,397","31,865","32,919","34,416","34,260",,,,,,,,
,,,,,ADT Tu-Th,"30,105","31,575","32,532","34,165","33,685",,,,,,,,
,,,,,ADT Sa,"29,114","31,013","33,070","34,703","34,915",,,,,,,,
,,,,,ADT Su,"23,123","23,876","27,734","29,946","30,870",,,,,,,,
687,ALTDORF GOTTHARDSTRASSE - UR6014,,UR,H 2,ADT,"13,109","13,505","13,107","13,786","13,945","13,950","13,131","13,072","11,107","10,268","10,315","9,819","12,419"
,,,,,AWT,"14,627","14,821","14,445","15,522","15,179","15,273","14,079","14,442","11,856","11,105","11,690","11,132","13,647"
,,,,,ADT Tu-Th,"14,873","14,749","14,392","15,484","15,175","15,154","14,023","14,619","11,822","11,076","11,738","11,356","13,680"
,,,,,ADT Sa,"11,711","12,426","12,486","13,125","13,258","13,423","12,581","11,786","10,356","9,397","9,203","9,044","11,575"
,,,,,ADT Su,"7,546","8,009","8,112","8,440","9,448","9,893","8,233","9,574","7,737","6,327","5,924","5,740","7,971"
690,FLUEELEN (AB),,UR,A 4,ADT,"14,094","15,323","15,873","17,054","17,757","19,938","18,916","21,056","18,989","18,128","15,278","15,331","17,322"
,,,,,AWT,"14,428","15,487","16,162","17,607","17,936","19,494","19,169","20,817","18,698","18,051","15,775","15,622","17,441"
,,,,,ADT Tu-Th,"14,021","14,875","15,642","17,298","17,359","18,608","18,917","19,945","17,833","17,294","15,286","15,161","16,882"
,,,,,ADT Sa,"13,716","15,215","15,060","16,349","17,425","21,208","19,120","21,424","20,564","18,943","14,488","15,450","17,389"
,,,,,ADT Su,"12,926","14,614","15,475","15,681","17,335","20,573","17,262","21,544","19,011","17,755","14,078","14,236","16,764"
691,LYSS (AB),,BE,A 6,ADT,"24,355","26,402","27,304","26,672","27,558","27,629","25,923","27,169","27,442","27,431","27,328","25,047","26,684"
,,,,,AWT,"26,960","28,817","30,168","30,064","30,492","30,810","28,305","30,350","29,470","29,820","30,433","27,898","29,437"
,,,,,ADT Tu-Th,"26,726","28,742","30,277","30,052","30,920","30,852","28,413","30,360","29,434","29,771","30,485","27,499","29,421"
,,,,,ADT Sa,"21,652","23,961","24,825","23,506","24,284","24,597","22,041","23,720","24,529","23,840","25,162","23,089","23,823"
,,,,,ADT Su,"15,054","16,769","17,753","17,476","18,511","19,047","16,104","19,438","19,202","17,281","17,072","16,375","17,556"
692,GLARUS S,,GL,H 17,ADT,"9,920","10,508","10,112",,,,,,,,,,
,,,,,AWT,"10,568","11,229","11,221",,,,,,,,,,
,,,,,ADT Tu-Th,"10,480","11,195","11,214",,,,,,,,,,
,,,,,ADT Sa,"9,532","9,970","8,926",,,,,,,,,,
,,,,,ADT Su,"7,383","7,438","6,640",,,,,,,,,,
693,NAEFELS N,,GL,H 17,ADT,"9,162","10,015","10,090","9,539","10,197","10,229","8,610","10,416","10,366","10,008","10,159","9,287","9,836"
,,,,,AWT,"10,052","10,798","10,998","10,545","11,165","11,332","9,280","10,901","11,037","10,808","11,345","10,402","10,704"
,,,,,ADT Tu-Th,"9,957","10,732","10,984","10,499","11,209","11,304","9,313","10,984","11,018","10,728","11,286","10,229","10,653"
,,,,,ADT Sa,"8,435","9,646","9,787","9,310","9,657","9,450","7,976","10,464","10,037","9,138","9,206","9,033","9,378"
,,,,,ADT Su,"5,826","6,468","6,581","6,338","6,669","7,074","5,393","8,760","7,002","6,279","6,370","5,557","6,570"
694,ROOT (AB),,LU,A 14,ADT,"62,055","65,176","67,161","67,211","69,623","69,089","67,869","67,522","69,772","68,622","66,798","62,515","66,952"
,,,,,AWT,"65,478","67,938","70,627","71,749","72,601","72,265","70,595","71,602","71,164","71,296","70,269","66,014","70,119"
,,,,,ADT Tu-Th,"65,488","68,051","70,598","71,684","72,971","72,074","70,667","72,422","70,438","71,503","71,169","65,864","70,229"
,,,,,ADT Sa,"60,586","65,131","66,302","66,066","69,310","66,888","64,055","63,340","69,974","67,006","67,104","62,069","65,719"
,,,,,ADT Su,"48,170","51,412","53,465","52,845","57,427","59,969","56,006","57,407","61,909","54,868","52,604","50,566","54,664"
696,BUETZBERG,,BE,H 1,ADT,"9,532","10,665","10,964","10,798","11,468","11,701","10,523","11,039","10,654","10,707","10,912","10,042","10,748"
,,,,,AWT,"10,708","11,520","12,156","12,214","12,806","13,071","11,511","12,217","11,315","11,584","12,382","11,227","11,873"
,,,,,ADT Tu-Th,"10,654","11,577","12,175","12,179","12,978","13,114","11,401","12,093","11,283","11,493","12,445","11,111","11,848"
,,,,,ADT Sa,"8,810","11,179","10,425","9,749","9,629","10,363","9,272","10,252","9,949","9,806","9,751","9,982","9,937"
,,,,,ADT Su,"4,936","5,874","6,496","6,776","7,688","8,027","6,089","7,768","7,726","6,563","6,192","5,938","6,710"
697,CHAM N (AB),,ZG,A 4,ADT,"87,388","91,364","95,247","95,438","91,845","99,918","95,304","97,475","101,241","97,711","95,252","87,632","94,642"
,,,,,AWT,"94,217","97,278","102,484","104,493","95,539","106,226","100,644","104,289","105,249","103,084","102,916","94,794","100,898"
,,,,,ADT Tu-Th,"94,335","97,282","102,929","104,571","95,746","105,792","101,085","105,217","104,930","103,061","103,575","95,109","101,146"
,,,,,ADT Sa,"80,205","85,501","88,007","88,322","91,611","94,532","86,890","89,622","96,980","90,508","89,544","82,995","88,801"
,,,,,ADT Su,"63,089","67,655","72,092","69,998","76,566","82,483","73,014","81,308","83,458","74,020","70,302","65,657","73,325"
708,KUEBLIS,,GR,A 28,ADT,"12,962","13,636","11,952","10,516","9,914","12,296","12,067","12,867","12,346","12,020","10,134","12,752","11,948"
,,,,,AWT,"12,660","12,636","11,413","10,745","10,266","12,185","11,950","12,841","11,910","11,833","10,437","12,296","11,770"
,,,,,ADT Tu-Th,"11,788","11,552","10,770","10,681","10,191","11,739","11,626","12,426","11,366","11,485","10,097","11,742","11,297"
,,,,,ADT Sa,"14,747","17,344","13,058","11,198","9,271","12,430","12,861","12,542","13,104","13,101","9,912","14,312","12,698"
,,,,,ADT Su,"12,862","14,932","13,110","9,297","9,077","12,574","11,946","13,228","13,982","12,018","9,145","13,310","12,049"
720,SCHWYZ (AB),,SZ,A 4,ADT,"19,968","21,496","22,114","23,589","24,077","26,526","25,017","27,583","25,670","24,592","21,970","21,341","23,671"
,,,,,AWT,"20,656","21,961","22,735","24,529","24,507","26,099","25,477","27,322","25,397","24,854","22,935","22,245","24,059"
,,,,,ADT Tu-Th,"20,452","21,411","22,139","24,188","24,015","25,125","25,229","26,462","24,560","24,105","22,427","21,884","23,527"
,,,,,ADT Sa,"19,394","21,357","21,433","23,618","23,987","28,601","25,442","27,975","27,739","25,221","21,184","21,249","23,911"
,,,,,ADT Su,"17,400","19,306","20,189","20,439","22,358","26,567","21,945","28,127","25,101","22,457","18,899","18,238","21,828"
723,"OENSINGEN, AEUSSERE KLUS",,SO,H 30,ADT,"19,500","20,249","21,317","21,470","22,177","21,763","20,692","21,190","21,829","21,267","21,200","19,555","21,018"
,,,,,AWT,"21,383","22,052","23,278","23,421","23,649","23,531","22,071","22,996","22,885","22,673","23,145","21,634","22,710"
,,,,,ADT Tu-Th,"21,307","22,036","23,371","23,318","23,632","23,416","22,186","23,176","22,923","22,720","23,172","21,364","22,699"
,,,,,ADT Sa,"18,023","18,350","19,981","21,434","21,592","20,871","19,158","19,733","21,495","19,765","20,669","18,697","20,020"
,,,,,ADT Su,"12,398","13,134","14,420","14,990","16,582","16,467","14,298","16,382","16,357","14,685","13,950","12,853","14,746"
724,SCHOENENWERD,,SO,H 5,ADT,"15,524","16,209","17,143","17,035","17,583","17,343","15,923","16,622","17,307","16,985","17,245","16,148","16,755"
,,,,,AWT,"17,103","17,616","18,693","18,804","19,049","19,177","17,228","18,543","18,385","18,150","18,995","17,982","18,290"
,,,,,ADT Tu-Th,"16,899","17,542","18,662","18,831","19,011","19,045","17,443","18,679","18,376","18,054","18,989","17,774","18,252"
,,,,,ADT Sa,"15,332","15,787","16,996","17,396","17,586","17,266","15,167","16,182","17,232","16,620","17,244","15,979","16,599"
,,,,,ADT Su,"8,733","9,598","10,783","10,898","11,419","11,279","9,175","10,586","11,457","10,651","10,247","9,843","10,418"
725,KLEINANDELFINGEN N (AB),,ZH,A 4,ADT,"30,476","32,885","34,537","35,897","36,201","37,473","35,608","36,632","35,757","34,658","33,327","31,366","34,570"
,,,,,AWT,"32,448","34,930","36,421","37,671","37,555","38,323","37,050","37,473","36,249","35,790","35,078","33,065","35,984"
,,,,,ADT Tu-Th,"32,031","34,817","36,259","37,528","37,193","37,553","37,005","36,978","35,803","35,521","34,974","32,560","35,689"
,,,,,ADT Sa,"29,162","31,181","33,390","35,396","35,597","38,681","33,349","36,898","36,622","33,718","33,307","31,316","34,109"
,,,,,ADT Su,"22,850","24,364","27,770","30,316","31,119","33,833","29,579","33,604","32,181","29,091","26,341","25,452","29,008"
727,VERZWEIGUNG RUETIHOF (AB),,ZG,A 4,ADT,,,,,,,,,,,"49,660","45,529",
,,,,,AWT,,,,,,,,,,,"55,043","50,219",
,,,,,ADT Tu-Th,,,,,,,,,,,"55,439","50,417",
,,,,,ADT Sa,,,,,,,,,,,"43,918","40,813",
,,,,,ADT Su,,,,,,,,,,,"33,869","32,256",
728,SEUZACH (AB),,ZH,A 1,ADT,"73,581","79,987","82,457","85,051","84,647","85,212","82,605",,,"84,764","83,235","78,364",
,,,,,AWT,"77,055","82,144","85,237","88,680","87,111","88,122","85,258",,,"86,872","85,899","81,628",
,,,,,ADT Tu-Th,"76,506","82,152","85,368","88,507","86,896","87,456","85,078",,,"86,029","85,996","80,707",
,,,,,ADT Sa,"73,203","81,956","82,932","84,664","84,093","84,502","80,196",,,"84,447","85,117","79,431",
,,,,,ADT Su,"58,602","67,230","70,307","73,211","74,853","75,985","69,761",,,"72,959","70,698","66,230",
729,GALLERIA VEDEGGIO-CASSARATE,,TI,H 399,ADT,"23,657","24,697","24,426","24,614","25,002","24,474","25,285","22,404","26,416","26,088","24,582","23,421","24,583"
,,,,,AWT,"26,290","27,075","26,794","27,339","27,263","27,422","27,844","25,102","28,352","27,608","27,212","26,010","27,043"
,,,,,ADT Tu-Th,"26,886","26,945","26,427","27,239","27,032","27,217","27,812","25,642","28,367","27,416","27,337","25,972","27,049"
,,,,,ADT Sa,"20,475","21,620","22,351","21,633","23,149","21,108","20,102","19,491","23,489","24,750","22,558","21,251","21,836"
,,,,,ADT Su,"14,618","15,882","16,555","17,520","17,361","16,890","15,754","15,839","18,695","18,690","16,088","15,805","16,592"
733,"BRIENZWILER, WILERBRUECKE E",,BE,H 6,ADT,"3,843","4,254","4,378","4,729","5,290","7,749","7,849","8,982","6,717","6,129","4,539","4,283","5,738"
,,,,,AWT,"4,298","4,707","4,974","5,261","5,564","7,908","7,979","9,192","6,635","6,423","5,134","4,801","6,079"
,,,,,ADT Tu-Th,"4,349","4,738","5,040","5,280","5,464","8,319","8,013","9,024","6,547","6,458","5,203","4,801","6,117"
,,,,,ADT Sa,"3,100","3,538","3,487","4,384","5,251","7,621","8,165","8,314","7,353","5,775","3,899","3,690","5,370"
,,,,,ADT Su,"2,438","2,707","2,767","3,186","4,179","7,301","6,784","8,840","6,537","4,799","2,802","2,867","4,623"
734,"INNERTKIRCHEN E, SUSTEN",,BE,H 11,ADT,916,"1,039",985,"1,189","1,398","3,241","3,072","3,902","2,691","1,736",958,995,"1,848"
,,,,,AWT,975,"1,063","1,061","1,227","1,404","2,872","2,905","3,738","2,406","1,646","1,030","1,054","1,785"
,,,,,ADT Tu-Th,983,"1,054","1,067","1,214","1,341","2,919","2,920","3,566","2,332","1,651","1,020","1,050","1,768"
,,,,,ADT Sa,844,"1,102",917,"1,377","1,541","3,987","3,980","3,825","3,596","2,233","1,000",978,"2,092"
,,,,,ADT Su,714,859,734,933,"1,231","3,976","3,127","4,515","3,350","1,759",628,799,"1,904"
739,TURTMANN (AB),,VS,A 9,ADT,"9,826","11,161","11,366","11,413","10,966","11,831","13,341","14,272","12,667","11,904","10,419","11,076","11,692"
,,,,,AWT,"10,097","11,150","11,611","11,625","11,281","12,123","13,715","14,277","12,713","12,228","10,820","11,483","11,938"
,,,,,ADT Tu-Th,"9,789","10,796","11,376","11,222","11,200","11,833","13,521","13,896","12,342","12,059","10,456","11,265","11,673"
,,,,,ADT Sa,"10,197","12,578","11,770","12,207","10,623","11,203","12,854","14,368","13,002","11,750","10,605","11,705","11,900"
,,,,,ADT Su,"8,341","9,798","9,934","10,177","9,986","11,277","11,677","14,178","12,080","10,192","8,629","9,233","10,477"
745,BÖNIGEN OST (AB),,BE,A8,ADT,,,,,,"14,346","15,008","16,473","12,979","11,528","10,338",,
,,,,,AWT,,,,,,"13,584","14,791","16,247","12,343","11,396","10,335",,
,,,,,ADT Tu-Th,,,,,,"13,418","15,097","15,766","11,900","11,173","10,275",,
,,,,,ADT Sa,,,,,,"15,597","16,485","16,626","15,152","12,512","10,280",,
,,,,,ADT Su,,,,,,"16,053","14,780","17,100","14,307","11,307","10,409",,
746,"SEFTIGEN, BURGIWIL N",,BE,H 221,ADT,"4,545","4,816","5,171","5,295","5,347","5,345","5,132","5,410","5,189","5,322","4,992","4,600","5,098"
,,,,,AWT,"4,965","5,252","5,584","5,810","5,733","5,785","5,490","5,925","5,420","5,690","5,449","5,069","5,510"
,,,,,ADT Tu-Th,"4,925","5,249","5,581","5,809","5,674","5,841","5,558","5,893","5,446","5,750","5,525","5,012","5,522"
,,,,,ADT Sa,"4,007","4,004","4,754","5,173","5,001","4,902","4,703","4,811","4,921","4,683","4,822","4,310","4,688"
,,,,,ADT Su,"3,127","3,448","3,852","3,660","4,071","4,175","3,502","4,194","4,192","3,847","3,333","3,151","3,716"
748,WEISSENBACH,,BE,H 11,ADT,"6,593","7,434","6,229","5,188","5,690","6,490","6,786","7,152","6,363","6,056","5,276","6,890","6,342"
,,,,,AWT,"6,039","6,888","6,098","5,409","5,783","6,412","6,706","7,095","6,122","6,123","5,564","6,648","6,241"
,,,,,ADT Tu-Th,"5,723","6,502","5,976","5,327","5,605","6,307","6,623","6,871","5,945","6,079","5,474","6,514","6,079"
,,,,,ADT Sa,"8,452","9,138","6,689","5,325","5,665","6,692","7,362","6,962","7,196","6,218","5,233","7,411","6,806"
,,,,,ADT Su,"7,542","8,466","6,319","4,357","5,326","6,615","6,672","7,501","6,853","5,507","4,164","7,391","6,366"
757,MITTALTUNNEL,,VS,H 509,ADT,"3,939","4,582","4,313","3,686","3,572","3,915","4,780","4,998","4,425","4,182","3,136","4,013","4,129"
,,,,,AWT,"3,566","3,858","3,761","3,503","3,506","3,745","4,643","4,799","4,134","4,027","3,103","3,643","3,866"
,,,,,ADT Tu-Th,"3,172","3,409","3,495","3,272","3,431","3,545","4,462","4,588","3,834","3,831","2,959","3,471","3,634"
,,,,,ADT Sa,"5,477","7,704","6,081","4,470","3,490","4,045","5,304","5,216","5,257","4,558","3,116","5,042","4,941"
,,,,,ADT Su,"4,348","5,079","4,863","3,777","3,932","4,396","5,039","5,480","5,192","4,700","3,289","4,623","4,531"
759,NAENIKON,,ZH,A 15,ADT,"50,754","52,786","55,500","53,441","54,438","55,233","52,537","50,818","55,949","55,678","56,353","52,275","53,806"
,,,,,AWT,"54,278","55,704","58,429","57,867","57,407","59,127","55,420","55,118","57,834","57,962","59,312","55,899","57,009"
,,,,,ADT Tu-Th,"53,967","55,417","58,299","57,872","57,182","58,940","55,378","55,189","57,852","57,809","59,222","54,907","56,809"
,,,,,ADT Sa,"49,902","52,223","55,590","52,086","54,014","55,204","50,407","48,612","56,256","55,071","58,100","52,373","53,378"
,,,,,ADT Su,"35,932","38,761","43,104","39,589","42,395","42,274","38,091","38,327","45,276","43,156","42,773","39,524","40,674"
760,USTER O,,ZH,A 15,ADT,"28,386","29,262","30,518","29,457","29,799","30,201","28,862","28,057","31,785","31,019","31,215","28,676","29,764"
,,,,,AWT,"30,012","30,410","31,815","31,448","31,058","31,938","30,241","30,174","32,096","31,931","32,574","30,143","31,148"
,,,,,ADT Tu-Th,"29,782","30,107","31,855","31,397","30,873","31,781","30,222","30,256","31,861","31,711","32,508","29,463","30,973"
,,,,,ADT Sa,"27,998","29,507","30,545","29,035","29,885","30,264","27,717","26,811","33,913","31,036","32,269","29,343","29,861"
,,,,,ADT Su,"21,541","23,275","25,042","23,100","24,427","24,368","22,074","22,038","27,943","25,754","24,724","23,097","23,841"
761,HINWIL N,,ZH,H 340,ADT,"16,856","17,521","17,247","17,084","17,584","17,758","17,034","14,917","17,758","17,660","18,063","17,567","17,247"
,,,,,AWT,"17,419","17,765","17,487","17,890","17,754","18,310","17,507","16,146","17,890","17,977","18,472","18,138","17,729"
,,,,,ADT Tu-Th,"17,235","17,489","17,192","17,820","17,315","18,133","17,408","16,730","17,857","17,743","18,272","17,750","17,581"
,,,,,ADT Sa,"18,455","19,548","18,923","18,395","19,881","19,764","18,387","14,602","19,386","18,960","20,306","19,473","18,808"
,,,,,ADT Su,"13,101","14,274","14,561","13,525","14,575","14,584","12,965","11,084","15,406","14,542","14,182","14,295","13,863"
763,HINWIL S,,ZH,A 15,ADT,"34,395","36,954","37,402","37,379","37,848","38,634","36,367","37,297","38,912","37,422",,,
,,,,,AWT,"36,238","38,379","39,463","40,547","40,042","41,296","38,251","40,198","40,120","38,998",,,
,,,,,ADT Tu-Th,"35,844","37,842","39,363","40,465","39,940","41,131","38,142","39,894","39,807","39,010",,,
,,,,,ADT Sa,"33,433","37,474","36,262","35,781","37,042","37,273","34,457","34,435","37,935","36,041",,,
